TemplateID,TemplateName,TemplateSynonyms,TemplateSource,TemplateType,TemplateSequence,TemplateStructure,TemplateComments
487,L. infantum chagasi Protein Antigen (LiPA),NULL,Leishmania infantum:5671,Protein>Others,NULL,NULL,NULL
488,Thiacloprid,NULL,Unknown,Inorganic molecules or materials,NULL,NULL,Thiacloprid is a systemic and broad-spectrum neonicotinoid insecticide against sucking and chewing insects and is the second member of Bayer's chloronicotintyl family.
489,Glyceraldehyde-3-phosphate dehydrogenase (EC:1.2.1.12),NULL,Streptococcus dysgalactiae subsp. equisimilis (Streptococcus equisimilis):119602,Protein>Enzyme,Q59906 [1-150],NULL,"Streptococcus dysgalactiae (S. dysgalactia) GapC is a highly conserved surface dehydrogenase among the streptococcus spp., which is responsible for inducing protective antibody immune responses in animals. GapC1-150, an immunodominant fragment contain amino acids from 1 to 150 of S. dysgalactiae GapC."
490,Insulin-like growth factor II,"Somatomedin-A, T3M-11-derived growth factor",Homo sapiens (Human):9606,Protein>Others,P01344,"1GF2, 1IGL, 2L29, 2V5P, 3E4Z, 3KR3","The insulin-like growth factors possess growth-promoting activity. In vitro, they are potent mitogens for cultured cells. IGF-II is influenced by placental lactogen and may play a role in fetal development."
491,Corticoliberin,"Corticotropin-releasing factor, CRF, Corticotropin-releasing hormone",Homo sapiens (Human):9606,Protein>Others,P06850,"3EHT, 3EHU",This hormone from hypothalamus regulates the release of corticotropin from pituitary gland.
492,Interleukin-6 receptor,NULL,Homo sapiens (Human):9606,Protein>Receptor,NULL,NULL,NULL
493,Avian influenza virus nonstructural protein 1,NULL,Unknown,Protein>Others,NULL,NULL,NULL
494,Spike protein S1 region,NULL,Porcine epidemic diarrhea virus (strain CV777) (PEDV):229032,Protein>Others,Q91AV1 [17-734],4J79,NULL
495,Vibrio cholerae serotype O1,NULL,Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395):345073,Cell,NULL,NULL,NULL
496,The spike (S) protein of the infectious bronchitis virus (IBV),NULL,Infectious bronchitis virus:11120,Protein>Others,Q9Q6Q7,NULL,NULL
497,Hepatitis C virus (HCV) nonstructural 3 (NS3) protein,NULL,Hepatitis C virus genotype 1a (isolate 1):11104,Protein>Others,P26664 [1193-1464],NULL,NULL
498,Human SARS coronavirus,"SARS-CoV, Severe acute respiratory syndrome coronavirus",Human SARS coronavirus:227859,Virus,NULL,NULL,NULL
499,Burkholderia pseudomallei protease,NULL,Unknown,Protein>Enzyme,NULL,NULL,NULL
500,Cytochrome P450 2D6 (CYP2D6) protein,NULL,Homo sapiens (Human):9606,Protein>Others,P10635,"2F9Q, 3QM4, 3TBG, 3TDA, 4WNT, 4WNU, 4WNV, 4WNW, 4XRY, 4XRZ",NULL
501,Merozoitesurface protein-142(MSP-142),NULL,Plasmodium knowlesi:5850,Protein>Others,NULL,NULL,NULL
502,Amyloid β (Aβ) peptide,NULL,Homo sapiens (Human):9606,Protein>Others,NULL,NULL,"Amyloid β 1-42 (Aβ1–42) were purchased from Sigma (Shanghai, China)."
503,Capsid proteins (CPs) of plant potyviruses,NULL,Unknown,Protein>Others,NULL,NULL,NULL
504,Anti-MGAM polyclonal antibody,NULL,Unknown,Protein>Polyclonal antibody,NULL,NULL,"Anti-MGAM polyclonal antibodies were from Santa Cruz Biotechnology Inc., Santa Cruz, CA, USA."
505,BPH701 (1-phospho-4- (3-(4-pyrolphenoxy) phenyl) butane-1-sulfonic acid,NULL,None,Inorganic molecules or materials,NULL,NULL,"The known hSQS inhibitor, BPH701 (1-phospho-4- (3-(4-pyrolphenoxy) phenyl) butane-1-sulfonic acid, is an analogue of the substrate FPP), was kindly provided from the lab of Professor Andrew Wang, Institute of Biological Chemistry of Academia Sinica at Taipei."
506,Gonadotropin releasing hormone (GnRH),NULL,Felis catus:9685,Protein>Others,NULL,NULL,"Gonadotropin releasing hormone (GnRH) is a ten amino acidlong peptide (EHWSYGLRPG) and the sequence of GnRH peptide is identical in the majority of mammalian species, including human, mouse, cat, dog, and rabbit."
507,Gonadotropin releasing hormone (GnRH),NULL,Canis familiaris (dog):9615,Protein>Others,NULL,NULL,"Gonadotropin releasing hormone (GnRH) is a ten amino acidlong peptide (EHWSYGLRPG) and the sequence of GnRH peptide is identical in the majority of mammalian species, including human, mouse, cat, dog, and rabbit."
508,Gonadotropin releasing hormone (GnRH),NULL,Oryctolagus cuniculus (Rabbit):9986,Protein>Others,NULL,NULL,"Gonadotropin releasing hormone (GnRH) is a ten amino acidlong peptide (EHWSYGLRPG) and the sequence of GnRH peptide is identical in the majority of mammalian species, including human, mouse, cat, dog, and rabbit."
509,Recombinant HBX protein,NULL,Unknown,Protein>Others,NULL,NULL,Recombinant HBX (amino acids 1–154) was produced as a glutathione S-transferase (GST) fusion protein.
510,Ganglioside GM3,NULL,Unknown,Organic molecules or materials,NULL,NULL,"Neu5Aca2–3Galb1–4Glcb1–10Cer (GM3) was purchased from Sigma–Aldrich, Inc. (St. Louis, MO)."
511,Pollen allergens,NULL,Unknown,Organic molecules or materials,NULL,NULL,NULL
512,Ochratoxin A (OTA),NULL,Unknown,Organic molecules or materials,NULL,NULL,Ochratoxin A (OTA) is a common mycotoxin mainly produced by several Aspergillus and Penicillium species.
513,Glu-tRNAGln,NULL,Unknown,Organic molecules or materials,NULL,NULL,GatCAB catalyzes the conversion of misacylated Glu-tRNAGln into Gln-tRNAGln.
514,Capsid protein VP3,NULL,Goose parvovirus:38251,Protein>Others,NULL,NULL,NULL
515,Envelope glycoprotein gp90,NULL,Reticuloendotheliosis virus strain HLJ07I,Protein>Others,NULL,NULL,"The gp90 protein is an important envelope glycoprotein, which is responsible for inducing protective antibody immune responses in animals."
516,Capsid protein VP1,NULL,Duck hepatitis A virus 1:1006061,Protein>Others,NULL,NULL,"VP1 is the most external and immunodominant of the picornavirus capsid proteins, potentially containing B and T cell epitopes that could induce protective neutralizing antibodies."
517,"Dense granule protein 2, Protein GRA 2","28 kDa antigen
GP28.5",Toxoplasma gondii:5811,Protein>Others,P13404,NULL,The dense granules (GRA) proteins are secreted into the PV during invasion by T.gondii tachyzoites in the host cell and remain soluble in the parasitophorous vacuole (PV) lumen or associated with PV membrane (PVM) or tubulovesicular network (TVN) of membranous structure within the PV.
518,Anti-Deinagkistrodon acutus venom polyclonal antibody,DA-pAb,Oryctolagus cuniculus (Rabbit):9986,Protein>Polyclonal antibody,NULL,NULL,NULL
519,Epidermal growth factor receptor (EC:2.7.10.1),Proto-oncogene c-ErbB-1 Receptor tyrosine-protein kinase erbB-1,Homo sapiens (Human):9606,Protein>Receptor,P00533,"1IVO, 1M14, 1M17, 1MOX, 1NQL, 1XKK, 1YY9, 1Z9I, 2EB2, 2EB3, 2GS2, 2GS6, 2GS7, 2ITN, 2ITO, 2ITP, 2ITQ, 2ITT, 2ITU, 2ITV, 2ITW, 2ITX, 2ITY, 2ITZ, 2J5E, 2J5F, 2J6M, 2JIT, 2JIU, 2JIV, 2KS1, 2M0B, 2M20, 2N5S, 2RF9, 2RFD, 2RFE, 2RGP, 3B2U, 3B2V, 3BEL, 3BUO, 3C09, 3G5V, 3G5Y, 3GOP, 3GT8, 3IKA, 3LZB, 3NJP, 3OB2, 3OP0, 3P0Y, 3PFV, 3POZ, 3QWQ, 3UG1, 3UG2, 3VJN, 3VJO, 3VRP, 3VRR, 3W2O, 3W2P, 3W2Q, 3W2R, 3W2S, 3W32, 3W33, 4G5J, 4G5P, 4HJO, 4I1Z, 4I20, 4I21, 4I22, 4I23, 4I24, 4JQ7, 4JQ8, 4JR3, 4JRV, 4KRL, 4KRM, 4KRO, 4KRP, 4LI5, 4LL0, 4LQM, 4LRM, 4R3P, 4R3R, 4R5S, 4RIW, 4RIX, 4RIY, 4RJ4, 4RJ5, 4RJ6, 4RJ7, 4RJ8, 4TKS, 4UIP, 4UV7, 4WD5, 4WKQ, 4WRG, 4ZAU, 4ZJV, 4ZSE, 5C8K, 5C8M, 5C8N, 5CAL, 5CAN, 5CAO, 5CAP, 5CAQ, 5CAS, 5CAU, 5CAV, 5CNN, 5CNO, 5CZH, 5CZI, 5D41, 5EDP, 5EDQ, 5EDR, 5EM5, 5EM6, 5EM7, 5EM8, 5FED, 5FEE, 5FEQ, 5HCX, 5HCY, 5HCZ, 5HG5, 5HG7, 5HG8, 5HG9, 5HIB, 5HIC, 5J9Y, 5J9Z, 5JEB, 5SX4, 5SX5",NULL
520,E protein,NULL,Duck Tembusu virus,Protein>Others,NULL,NULL,NULL
521,"BCL-6 corepressors BcoR, SMRT, and N-CoR","Alternative names for BcoR: BCL-6 corepressor Alternative names for SMRT:
Nuclear receptor corepressor 2 N-CoR2
CTG repeat protein 26 SMAP270 Silencing mediator of retinoic acid and thyroid hormone receptor SMRT T3 receptor-associating factor TRAC Thyroid-, retinoic-acid-receptor-associated corepressor Alternative names for N-coR:
Nuclear receptor corepressor 1 N-CoR1.",Homo sapiens (Human):9606,Protein>Others,"Q6W2J9, Q9Y618, O75376","BcoR: 2N1L, 3BIM, 4HPL
SMRT: 1KKQ, 1R2B, 1XC5, 2GPV, 2L5G, 2LTP, 2ODD, 2RT5, 3R29, 3R2A, 4A69, 4OAR
N-CoR: 2EQR, 3H52, 3KMZ, 3N00, 4MDD, 4WVD",NULL
522,"Fibroblast growth factor 21, FGF-21",NULL,Homo sapiens (Human):9606,Protein>Others,Q9NSA1,NULL,NULL
523,"lipopolysaccharide, LPS",NULL,Vibrio cholerae,Protein>Others,NULL,NULL,NULL
524,"O,O-dimethyl organophosphorus pesticides (O,O-dimethyl OPs)",NULL,,Organic molecules or materials,NULL,NULL,NULL
525,Triosephosphate isomerase (TIM),NULL,freshwater crayfish (Procambarus clarkii),Protein>Enzyme,NULL,NULL,NULL
526,Dengue virus (DENV),NULL,Dengue virus type 3(DEN3P): 408870,Virus,P27915,NULL,NULL
527,Nuclear factor erythroid 2-related factor 2,"NF-E2-related factor 2
NFE2-related factor 2
HEBP1
Nuclear factor, erythroid derived 2, like 2",Homo sapiens (Human):9606,Protein>Others,Q16236,"2FLU, 2LZ1, 3ZGC, 4IFL",NULL
528,"Brain-derived neurotrophic factor, BDNF ",Abrineurin,Homo sapiens (Human):9606,Protein>Others,P23560,"1B8M, 1BND","BDNF has only a short half-life in the blood and poor central transition , making it difficult to use intrinsic BDNF as a therapeutic agent. Therefore, alternative molecules that mimic BDNF function would serve as novel innovative central nervous system (CNS) drugs."
529,Fibronectin(FN),NULL,Homo sapiens (Human):9606,Protein>Others,P02751,"1E88,
1E8B,
1FBR,
1FNA,
1FNF,
1FNH,
1J8K,
1O9A,
1OWW,
1Q38,
1QGB,
1QO6,
1TTF,
1TTG,
2CG6,
2CG7,
2CK2,
2CKU,
2EC3,
2FN2,
2FNB,
2GEE,
2H41,
2H45,
2HA1,
2N1K,
2OCF,
2RKY,
2RKZ,
2RL0,
3CAL,
3EJH,
3GXE,
3M7P,
3MQL,
3R8Q,
3T1W,
3ZRZ,
4GH7,
4JE4,
4JEG,
4LXO,
4MMX,
4MMY,
4MMZ,
4PZ5,
5DC0,
5DC4,
5DC9,
5DFT,
5J7C ",It is well known that hFN participates in the cellular uptake of the extracellular proteins or microorganisms which bind to hFN.
530,"Triosephosphate isomerase, TIM",NULL,Amphioctopus fangsiao (Ocellated octopus) (Octopus ocellatus): 515817,Protein>Others,A0A0S1U346,NULL,NULL
531,Urokinase plasminogen activator surface receptor,"U-PAR, uPAR
Monocyte activation antigen Mo3
CD_antigen=CD87",Homo sapiens (Human):9606,Protein>Receptor,Q03405,"1YWH, 2FD6, 2I9B, 3BT1, 3BT2, 3U73, 3U74, 4K24, 4QTI",NULL
532,Fumonisin B1,NULL,,Protein>Others,NULL,NULL,NULL
533,"Triosephosphate isomerase, TIM",NULL,Octopus fangsiao,Protein>Others,NULL,NULL,NULL
534,"Heme oxygenase-1, HO-1",HSP32,Rattus norvegicus (Rat):10116,,P06762,"1DVE, 1DVG, 1IRM, 1IVJ, 1IX3, 1IX4, 1J02, 1J2C, 1UBB, 1ULX, 1VGI, 2DY5, 2E7E, 2ZVU, 3I9T, 3I9U, 3WKT, 4G7L, 4G7P, 4G7T, 4G7U, 4G8P, 4G8U, 4G8W, 4G98, 4G99, 4MEC",NULL
535,Anti-human myeloperoxidase antibody,NULL,Unknown,,NULL,NULL,NULL
536,Capsid protein,"Protein ORF2, pORF2",Unknown,,NULL,NULL,NULL
537,Foot-and-mouth disease virus (FMDV) strain A/XJBC/CHA/2010,NULL,Cricetulus griseus (Chinese hamster) (Cricetulus barabensis griseus): 10029,,NULL,NULL,NULL
538,Tumor necrosis factor ligand superfamily member 12,"APO3 ligand
TNF-related weak inducer of apoptosis, TWEAK",Homo sapiens (Human):9606,Protein>Others,O43508,4HT1,NULL
539,Tumor necrosis factor ligand superfamily member 10,NULL,Mus musculus (Mouse):10090,Protein>Others,P50592,NULL,NULL
540,Outer capsid protein VP2,NULL,Bluetongue virus 8:197780,Protein>Others,NULL,NULL,NULL
541,Imidaclothiz,NULL,None,Organic molecules or materials,NULL,NULL,NULL
542,Hepatocyte growth factor-like protein,"Macrophage stimulatory protein, MSP
Macrophage-stimulating protein, MSP",Homo sapiens (Human):9606,Protein>Others,P26927,"2ASU, 4QT8",NULL
543,"Lysophosphatidylinositol, LPI",L-α-lysophosphatidylinositol,Homo sapiens (Human):9606,Organic molecules or materials,NULL,NULL,NULL
544,Leukosialin,"Galactoglycoprotein, GALGP
Leukocyte sialoglycoprotein
Sialophorin
CD_antigen: CD43",Homo sapiens (Human):9606,Protein>Others,P16150,NULL,NULL
545,"Alpha-2-macroglobulin receptor-associated protein, Alpha-2-MRAP","Low density lipoprotein receptor-related protein-associated protein 1, RAP",Homo sapiens (Human):9606,Protein>Others,P30533,"1LRE, 1NRE, 1OP1, 1OV2, 2FCW, 2FTU, 2FYL, 2P01, 2P03",NULL
546,Anti-Cry1Ab monoclonal antibody,NULL,,Protein>Monoclonal antibody,NULL,NULL,The anti-Cry1Ab monoclonal antibodies (mAb) were prepared in their laboratory.
547,Anti-human total PSA monoclonal antibody,NULL,Unknown,Protein>Monoclonal antibody,NULL,NULL,"Anti-human total PSA monoclonal antibody (anti-PSA mAb) were purchased from Meridian Life Science (Memphis, TN, USA)."
548,Glyceraldehyde-3-phosphate dehydrogenase,NULL,Staphylococcus aureus:1280,Protein>Enzyme,Q6V0I0,NULL,NULL
549,Glyceraldehyde-3-phosphate dehydrogenase,NULL,Staphylococcus aureus:1280,Protein>Enzyme,Q6V0I0,NULL,NULL
550,Blood group Rh(D) polypeptide,"RHXIII
Rh polypeptide 2
RhPII
Rhesus D antigen
CD240D",Homo sapiens (Human):9606,Protein>Others,Q02161,NULL,The RhD antigen is the most immunogenic and clinically significant of the Rhesus (Rh) blood group system.
551,Haemonchus contortus,NULL,Haemonchus contortus:6289,Cell,NULL,NULL,NULL
552,M. pneumoniae,NULL,Unknown,Cell,NULL,NULL,NULL
553,Leukocyte elastase inhibitor (LEI),NULL,,Protein>Others,NULL,NULL,"Leukocyte elastase inhibitor (LEI) also known as serpin B1 which is a cytoplasmic serine protease inhibitor of polymorphonuclear neutrophils. Among other serine proteases, it specifically inhibits neutrophil elastase, PR3 and cathepsin G, all found in neutrophil granules, by a suicide inhibition mechanism."
554,Splicing factor 3B subunit 1,"Pre-mRNA-splicing factor SF3b 155 kDa subunit, SF3b155
Spliceosome-associated protein 155, SAP 155",Mus musculus (Mouse):10090,Protein>Others,Q99NB9,NULL,NULL
555,Glomerular basement membrane,NULL,Rattus norvegicus (Rat):10116,Organ and tissue,NULL,NULL,NULL
556,"Fibroblast growth factor 1, FGF-1","Acidic fibroblast growth factor, aFGF
Endothelial cell growth factor, ECGF
Heparin-binding growth factor 1, HBGF-1",Homo sapiens (Human):9606,Protein>Others,P05230,"1AXM, 1DJS, 1DZC, 1DZD, 1E0O, 1EVT, 1HKN, 1JQZ, 1JT3, 1JT4, 1JT5, 1JT7, 1JTC, 1JY0, 1K5U, 1K5V, 1M16, 1NZK, 1P63, 1PZZ, 1Q03, 1Q04, 1QCT, 1RG8, 1RML, 1RY7, 1YTO, 1Z2V, 1Z4S, 2AFG, 2AQZ, 2AXM, 2ERM, 2HW9, 2HWA, 2HWM, 2HZ9, 2K43, 2K4A, 2K8R, 2KI4, 2KI6, 2NTD, 2Q9X, 2RQ9, 3B9U, 3BA4, 3BA5, 3BA7, 3BAD, 3BAG, 3BAH, 3BAO, 3BAQ, 3BAU, 3BAV, 3BB2, 3CQA, 3CRG, 3CRH, 3CRI, 3CU1, 3FGM, 3FJ8, 3FJ9, 3FJA, 3FJB, 3FJC, 3FJD, 3FJE, 3FJF, 3FJH, 3FJI, 3FJJ, 3FJK, 3HOM, 3JUT, 3K1X, 3O3Q, 3OJ2, 3OJM, 3OJV, 3UD7, 3UD8, 3UD9, 3UDA, 4J23, 4Q91, 4Q9G, 4Q9P, 4QAL, 4QBC, 4QBV, 4QC4, 4QO3, 4XKI, 4YOL",NULL
